Title,Price,Image Src,Link
"Monitor 32"" LG 32SR50F-W MyView Smart IPS Full HD 1920 x 1080, HDMIx2, 8ms,webOS,Speakers,White","13.980,00 ден.",https://www.anhoch.com/storage/media/599882275.jpg,https://www.anhoch.com/products/monitor-32-lg-32sr50fw-myview-smart-ips-full-hd-1920-x-1080-hdmix2-8mswebosspeakerswhite-2275
"Monitor 32"" LG 32GS60QC-B Gaming VA Curved 180Hz, QHD, HDMI, DP, Freesync","12.780,00 ден.",https://www.anhoch.com/storage/media/32gs60qc-b.jpg,https://www.anhoch.com/products/monitor-32-lg-32gs60qcb-gaming-va-curved-180hz-qhd-hdmi-dp-freesync-3812
"Notebook Lenovo IP3 i7-1255U 16GB/512GB/15.6"" FullHD/DOS/ArcticGray","28.980,00 ден.",https://www.anhoch.com/storage/media/2820792-n0.jpg,https://www.anhoch.com/products/notebook-lenovo-ip3-i71255u-16gb512gb156-fullhddosarcticgray-1973
XP-PEN Protective Flim AC37-1 For Deco01 V2 Tablet,"190,00 ден.",https://www.anhoch.com/storage/media/ac371.jpg,https://www.anhoch.com/products/xppen-protective-flim-ac371-for-deco01-v2-tablet-1253
Mouse Logitech Optical B100 USB,"450,00 ден.",https://www.anhoch.com/storage/media/910003357_1.jpg,https://www.anhoch.com/products/mouse-logitech-optical-b100-usb-5365
"Notebook Stand White Shark Ice Wizard up to 17.3"" 5x LED Fans Gaming","1.550,00 ден.",https://www.anhoch.com/storage/media/1__mg_8848web.jpg,https://www.anhoch.com/products/notebook-stand-white-shark-ice-wizard-up-to-173-5x-led-fans-gaming-8198
"Notebook Acer Aspire 3 A315-59-502V i5-1235U 8GB/512GB/15.6"" FullHD IPS /LAN/Silver/DOS","20.480,00 ден.",https://www.anhoch.com/storage/media/nx.k6tex.00x.jpg,https://www.anhoch.com/products/notebook-acer-aspire-3-a31559502v-i51235u-8gb512gb156-fullhd-ips-lansilverdos-6918
XP-PEN Protective Flim AC37-2 For Deco02 Tablet,"190,00 ден.",https://www.anhoch.com/storage/media/ac372.jpg,https://www.anhoch.com/products/xppen-protective-flim-ac372-for-deco02-tablet-1254
Keyboard Logitech Wireless Desktop MK235 w/Mouse Grey,"1.790,00 ден.",https://www.anhoch.com/storage/media/920007931_1.jpg,https://www.anhoch.com/products/keyboard-logitech-wireless-desktop-mk235-wmouse-grey-3559
Keyboard Logitech Wireless Desktop MK540 Advanced w/Mouse,"3.180,00 ден.",https://www.anhoch.com/storage/media/920008685_1.jpg,https://www.anhoch.com/products/keyboard-logitech-wireless-desktop-mk540-advanced-wmouse-3560
Microphone Tracer Premium Pro USB,"2.090,00 ден.",https://www.anhoch.com/storage/media/hire_46788.jpg,https://www.anhoch.com/products/microphone-tracer-premium-pro-usb-2041
"Notebook Bag Fiesta Generosity 16""","680,00 ден.",https://www.anhoch.com/storage/media/pto16bg.jpg,https://www.anhoch.com/products/notebook-bag-fiesta-generosity-16-5625
Mouse Logitech Wireless M185 Swift Grey,"790,00 ден.",https://www.anhoch.com/storage/media/910002235_1.jpg,https://www.anhoch.com/products/mouse-logitech-wireless-m185-swift-grey-5660
Keyboard Tracer Wireless Set RF Nano /w Mouse,"1.290,00 ден.",https://www.anhoch.com/storage/media/hire_46773.jpg,https://www.anhoch.com/products/keyboard-tracer-wireless-set-rf-nano-w-mouse-2812
USB HUB 2.0 4-Port Type-C Gembird Black,"290,00 ден.",https://www.anhoch.com/storage/media/uhb-cm-u2p4-01.jpg,https://www.anhoch.com/products/usb-hub-20-4port-typec-gembird-black-1518
Tablet PC Xiaomi Redmi Pad SE 8.7 4GB/64GB Graphite Gray,"6.480,00 ден.",https://www.anhoch.com/storage/media/vhu5082eu.jpg,https://www.anhoch.com/products/tablet-pc-xiaomi-redmi-pad-se-87-4gb64gb-graphite-gray-5903
"Notebook Backpack Lenovo B210 15.6"" Black (Eco)","1.090,00 ден.",https://www.anhoch.com/storage/media/gx41l83768.jpg,https://www.anhoch.com/products/notebook-backpack-lenovo-b210-156-black-eco-7441
"Notebook Lenovo LOQ Gaming i5-12450HX/16GB/512GB/RTX4050/15.6"" FHD IPS 144Hz/DOS","48.980,00 ден.",https://www.anhoch.com/storage/media/83lk001yrm.jpg,https://www.anhoch.com/products/notebook-lenovo-loq-gaming-i512450hx16gb512gbrtx4050156-fhd-ips-144hzdos-7697
"Notebook Backpack Lenovo GB400 15.6"" Gaming","2.190,00 ден.",https://www.anhoch.com/storage/media/gx41m53146.jpg,https://www.anhoch.com/products/notebook-backpack-lenovo-gb400-156-gaming-7442
"Monitor 24"" Dell SE2422H FullHD 75Hz VGA/HDMI","5.980,00 ден.",https://www.anhoch.com/storage/media/se2422h_1.jpg,https://www.anhoch.com/products/monitor-24-dell-se2422h-fullhd-75hz-vgahdmi-9427
"Notebook Backpack SBOX Texas 17.3"" Black","1.980,00 ден.",https://www.anhoch.com/storage/media/181207132327texas2.jpg,https://www.anhoch.com/products/notebook-backpack-sbox-texas-173-black-8211
Mouse SBOX Wireless VM-065W Vertical Ergonomic Black,"650,00 ден.",https://www.anhoch.com/storage/media/190927081419anfas.jpg,https://www.anhoch.com/products/mouse-sbox-wireless-vm065w-vertical-ergonomic-black-8212
Mouse Gigabyte Optical M6300 Optical 1000DPI USB Black,"350,00 ден.",https://www.anhoch.com/storage/media/gmm6300-1.jpg,https://www.anhoch.com/products/mouse-gigabyte-optical-m6300-optical-1000dpi-usb-black-1012
"Notebook HP 15 i5-1334U 12GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Warm Gold","25.480,00 ден.",https://www.anhoch.com/storage/media/a76s7ea-8gb.jpg,https://www.anhoch.com/products/notebook-hp-15-i51334u-12gb512gb156-fhd-ipsiris-xetypecdoswarm-gold-7701
Monitor Stand Gembird Height Adjustable,"990,00 ден.",https://www.anhoch.com/storage/media/gembirdtable.jpg,https://www.anhoch.com/products/monitor-stand-gembird-height-adjustable-8965
